   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
  accept        0.499993         47.9058       0.026215         26.215         5454.26       0.145706        145.706         11.3364      0.0388362        38.8362
  accept        0.500043         52.9188      0.0239387        23.9387         5445.13       0.146793        146.793         4.19312      0.0308312        30.8311
  accept        0.499921         52.6022      0.0239057        23.9057          5448.2       0.146365        146.365         6.83235      0.0317912        31.7912
  accept        0.499962         50.4592       0.025604         25.604          5451.9       0.146245        146.245        -10.1857      0.0374706        37.4706
  accept        0.500053         50.9969      0.0246496        24.6496         5453.92       0.150883        150.883        0.935696      0.0384551         38.455
  accept        0.500127         50.6815      0.0240195        24.0195         5445.51       0.143428        143.428         2.10176      0.0351342        35.1341
  accept        0.500167         51.9406      0.0238645        23.8645         5448.46       0.145445        145.445        -1.17799      0.0324731         32.473
  accept        0.499546         49.7655      0.0251793        25.1793         5450.24       0.146632        146.632         7.29277      0.0335982        33.5982
  accept        0.499848          52.436      0.0234994        23.4994         5447.25        0.14535         145.35        -2.70024       0.032065         32.065
  accept        0.500613          50.253      0.0243745        24.3745         5449.95       0.148616        148.616        -6.17421      0.0360754        36.0754
  accept        0.499883         47.8236      0.0249585        24.9585         5457.21       0.147143        147.143         3.33129      0.0377717        37.7717
  accept        0.499987         47.9776      0.0258852        25.8852         5456.11       0.148612        148.612        -6.34062      0.0398446        39.8446
  accept        0.500099         52.7132      0.0238529        23.8529          5445.6       0.144983        144.982         2.99457      0.0298349        29.8349
  accept        0.499812         52.6583       0.023574         23.574         5445.04       0.146256        146.256        -1.34035      0.0270218        27.0217
  accept        0.500334         50.9941      0.0244787        24.4787         5448.91       0.145936        145.935        -5.13066      0.0342659        34.2658
  accept        0.499642         45.9758      0.0253127        25.3127          5463.9        0.14975         149.75        -9.13889       0.042532         42.532
  accept        0.499876         50.0599      0.0244873        24.4873         5451.27       0.147694        147.694        -1.55409      0.0344443        34.4443
  accept        0.500398         48.4507      0.0246631        24.6631         5456.17        0.15026         150.26        -3.29763      0.0357262        35.7262
  accept        0.499869         50.3287      0.0252506        25.2506         5452.28       0.148409        148.409        -4.35293      0.0331933        33.1933
  accept        0.499746         48.9271      0.0248496        24.8496         5454.51       0.147246        147.246        0.534866      0.0368523        36.8523
  accept        0.500088         51.7682      0.0240433        24.0433         5447.65       0.144608        144.608         3.82936      0.0346911        34.6911
  accept        0.499916         47.2716      0.0257755        25.7755         5455.73       0.145786        145.786        -1.00227       0.038061         38.061
  accept         0.50006         52.0513      0.0234536        23.4536         5449.06       0.145312        145.312       -0.851161      0.0316297        31.6297
  accept        0.500236         44.4155      0.0273131        27.3131          5468.3       0.152278        152.278         9.08406      0.0482695        48.2694
  accept        0.499846         50.8155      0.0244804        24.4804         5453.86        0.14894         148.94         7.90921      0.0324364        32.4364
  accept        0.499968         49.6696      0.0254509        25.4509         5456.94       0.150809        150.809        0.917285      0.0404666        40.4666
  accept        0.500066         46.8488      0.0254489        25.4489         5465.63       0.152308        152.308        -10.9213      0.0403695        40.3695
  accept        0.500022         50.1666      0.0253688        25.3688         5450.72        0.14751         147.51        -7.34902      0.0356517        35.6517
  accept        0.499696         52.1239      0.0227168        22.7168         5445.84       0.144434        144.434        -2.82834      0.0273269        27.3269
  accept        0.500107         51.2664      0.0238561        23.8561         5449.51       0.146016        146.016       -0.696406      0.0334624        33.4623
  accept         0.50015         53.8727      0.0232588        23.2588         5442.78       0.142938        142.938         1.60403      0.0275636        27.5636
  accept        0.500049         51.5536      0.0237466        23.7465         5450.39       0.146848        146.848        -2.63941      0.0341431        34.1431
  accept        0.499907          45.364      0.0268352        26.8352         5459.67       0.147049        147.049         4.96745      0.0457468        45.7468
  accept        0.499921         47.3644      0.0257808        25.7808         5462.45       0.151507        151.507        0.219724      0.0410282        41.0281
  accept         0.50042         49.0022      0.0251321        25.1321         5455.86       0.146876        146.876        -1.61998      0.0387061        38.7061
  accept        0.499614         48.5661      0.0257887        25.7887         5454.55       0.146419        146.418        0.654893      0.0381749        38.1748
  accept        0.500188         51.4358      0.0244175        24.4175         5450.82       0.147418        147.418         1.25264      0.0320723        32.0723
  accept        0.499852         47.3818      0.0245719        24.5719         5462.31       0.152187        152.187       -0.947576      0.0388802        38.8802
  accept        0.500129         49.1271      0.0246447        24.6447         5457.63       0.148765        148.765        -6.49994      0.0359449        35.9448
  accept        0.499887         49.5206       0.025413        25.4129         5453.18       0.145775        145.775         9.36608      0.0374476        37.4476
  accept        0.499904         50.5044      0.0244648        24.4648          5451.5       0.147608        147.608        -1.67551      0.0374819        37.4819
  accept        0.500483         52.4933      0.0240141        24.0141         5447.75       0.145099        145.099         5.90665       0.032884        32.8839
  accept        0.499672         45.4971      0.0263691        26.3691         5464.05       0.148906        148.906       -0.789868      0.0421969        42.1969
  accept         0.49969          53.124       0.022571        22.5709         5444.19       0.145273        145.273        -2.17238      0.0271178        27.1178
  accept        0.500228         50.5715      0.0240516        24.0516         5451.58       0.147168        147.168        -6.55783      0.0337571        33.7571
  accept        0.500105         49.8054      0.0247083        24.7083          5451.7       0.145747        145.747        -1.69219      0.0366248        36.6248
  accept        0.499958         48.6803      0.0247573        24.7573         5452.04       0.144783        144.783        -8.88205      0.0383869        38.3869
  accept        0.499875         50.9187      0.0245709        24.5709         5450.69       0.147005        147.005         4.24133      0.0318328        31.8328
  accept        0.500121          47.497      0.0260732        26.0731          5455.5       0.148272        148.272       -0.308499      0.0431474        43.1474
  accept        0.500043         48.4349      0.0258846        25.8846         5459.94       0.150272        150.272        -5.73853      0.0363617        36.3617
  accept        0.499985         46.0767      0.0269202        26.9202         5459.08       0.146281        146.281        -2.04301      0.0464264        46.4264
  accept        0.499993         53.7808      0.0225393        22.5393         5449.46       0.147328        147.328       -0.627669      0.0282952        28.2952
  accept        0.500103         50.4286      0.0244777        24.4777          5458.5       0.150893        150.893        -2.23188      0.0359989        35.9989
  accept        0.499973         50.1352       0.024703         24.703         5452.85       0.148929        148.929         4.09917      0.0346369        34.6368
  accept        0.499907         50.9766       0.024446        24.4459         5452.98       0.149033        149.033        -7.31111      0.0332404        33.2404
  accept        0.499924         48.4555      0.0247294        24.7294         5455.62       0.148445        148.445        0.953518      0.0341733        34.1733
  accept         0.50022          47.983      0.0255134        25.5134         5456.39       0.146631        146.631        0.021838      0.0389361        38.9361
       1        0.499964         48.8559      0.0259884        25.9884         5454.64       0.148889        148.889         1.40031      0.0386684        38.6684
       2        0.499891         49.1527      0.0244343        24.4343         5452.01       0.145289        145.289        -5.53876       0.035104         35.104
       3        0.500089         52.2284      0.0239871        23.9871         5448.03       0.148641         148.64        -5.54132      0.0313062        31.3062
       4        0.499879         43.9501      0.0255418        25.5418         5473.04       0.152101        152.101        -6.91853      0.0440098        44.0097
       5        0.499795         51.4013      0.0243187        24.3187         5448.65       0.146645        146.645        -2.98047      0.0332109        33.2109
       6        0.500608         45.7182      0.0255674        25.5674         5462.34       0.147027        147.027        -3.87894      0.0419693        41.9693
       7        0.499691         51.6967      0.0241704        24.1704         5449.91         0.1471          147.1        0.207926      0.0322236        32.2236
       8        0.499939         50.2045      0.0247686        24.7686         5450.91       0.146504        146.504       -0.906219      0.0377262        37.7261
   total        0.500265         49.1511      0.0176846        25.0098         5454.94       0.104664        148.017        -3.02048      0.0262595        37.1365

    mode      occupation             +/-         std dev
      -5         0.95535     0.000692913        0.979926
      -4         1.48208      0.00108356         1.53239
      -3         2.53881      0.00186601         2.63893
      -2         5.30312      0.00402582         5.69336
      -1         16.2237       0.0121496         17.1822
       0         49.1511       0.0176846         25.0098
       1         14.6222       0.0109121         15.4321
       2         4.95917      0.00362635         5.12844
       3         2.40324      0.00176458         2.49549
       4         1.42576      0.00102433         1.44862
       5         0.93553     0.000672233        0.950681
