   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499352         51.6892     0.00825778        26.1134          5439.2      0.0454841        143.833         4.78618       0.012467         39.424
    init         0.49938          53.772     0.00799142        25.2711            5434      0.0446276        141.125         1.69956      0.0111583        35.2857
    init        0.499356         54.7437     0.00774542        24.4932         5432.12      0.0445769        140.965         4.50978      0.0103003        32.5723
    init        0.499303         55.6679     0.00774317         24.486         5429.95      0.0443385        140.211          3.1486     0.00975829        30.8584
    init        0.499277         55.0142     0.00773858        24.4715         5432.24      0.0447192        141.414         3.11116      0.0100591        31.8097
    init        0.499387          51.376      0.0083763        26.4882         5439.73      0.0451391        142.742         -9.8981      0.0124363        39.3271
    init        0.499406         53.0119      0.0081187        25.6736         5436.04      0.0448916         141.96       -0.874831      0.0119176        37.6868
    init        0.499367         56.8438      0.0073361        23.1988         5427.35      0.0442575        139.954        -1.51991     0.00829277         26.224
    init        0.499329         54.6635      0.0078442        24.8056         5433.39      0.0448317         141.77        0.169961      0.0106781        33.7672
    init        0.499379         51.9253     0.00824143        26.0617         5438.56      0.0450525        142.469        -4.04441      0.0122937        38.8762
    init        0.499268         51.1546     0.00841323         26.605         5439.63      0.0451223        142.689         2.62838      0.0130965        41.4148
    init        0.499352         55.2758     0.00777211        24.5776         5432.38      0.0449532        142.154        -2.36254      0.0101172        31.9933
    init        0.499326         53.8083     0.00796921        25.2009         5433.73      0.0445097        140.752         5.15257      0.0110957        35.0878
    init        0.499344         53.7632     0.00791519          25.03         5434.53      0.0450678        142.517        -4.63328      0.0109173        34.5236
    init        0.499372         53.1287     0.00798914        25.2639         5435.37      0.0447898        141.638         5.41066      0.0112098        35.4484
    init        0.499326         56.2904     0.00753872        23.8395          5428.7      0.0443251        140.168         2.43235     0.00949116        30.0137
    init        0.499341         55.0839     0.00768829        24.3125         5430.58      0.0442321        139.874          1.1821     0.00999363        31.6026
    init        0.499329         49.7423     0.00857343        27.1116         5443.82      0.0455804        144.138         2.74519      0.0140426        44.4067
    init        0.499319         55.1483     0.00768063        24.2883         5431.54      0.0446155        141.087          4.6343     0.00982977        31.0845
    init        0.499337         55.0463     0.00768991        24.3176         5430.86      0.0445469         140.87          1.8532     0.00929221        29.3846
    init        0.499323         53.1267     0.00806553        25.5054         5436.15      0.0449816        142.244       -0.436782      0.0116927        36.9755
    init         0.49922         53.8771     0.00800353        25.3094         5433.65      0.0448855         141.94        -2.64861      0.0110367        34.9011
    init        0.499372         55.2779     0.00762653        24.1172         5430.75      0.0445301        140.816        -2.73983      0.0100825        31.8837
    init        0.499258         56.1192      0.0075823        23.9773            5430      0.0446546         141.21         4.01238     0.00958442        30.3086
    init        0.499278         53.5973     0.00790581        25.0004         5435.61       0.044906        142.005         5.56748      0.0105966        33.5093
    init        0.499372         52.4424     0.00817302        25.8454         5437.24      0.0450715        142.529         10.1189      0.0118176        37.3705
    init        0.499316         50.4998     0.00839663        26.5525         5443.74      0.0456878        144.478         3.01593      0.0134916        42.6642
    init        0.499392         54.6146     0.00781521        24.7139         5432.99      0.0449587        142.172         3.09538      0.0104046        32.9023
    init        0.499368         49.7542     0.00847774         26.809         5442.65      0.0454532        143.736        -4.62678      0.0136573        43.1882
    init        0.499305           55.49     0.00770259        24.3577         5431.26      0.0444688        140.623         3.65028      0.0102027        32.2639
    init        0.499275         52.1627      0.0082515        26.0935         5437.55      0.0449243        142.063         2.23601      0.0123642         39.099
    init        0.499286         55.1272       0.007719        24.4096         5430.76       0.044779        141.604         2.83328      0.0101021        31.9457
    init        0.499326         56.3267     0.00753362        23.8234         5429.19      0.0443328        140.193        -1.91371     0.00947725        29.9697
    init        0.499322         52.0108     0.00816922        25.8333          5437.9      0.0449796        142.238        -11.6698      0.0116801        36.9357
    init        0.499308         53.6018     0.00786745        24.8791         5435.61      0.0450151         142.35         4.69944      0.0110941        35.0827
    init        0.499295         52.9913     0.00813366        25.7209          5437.4      0.0454418          143.7         2.16774      0.0118978        37.6241
    init        0.499266         55.9677     0.00748815        23.6796         5428.42      0.0440759         139.38         1.00828     0.00887857        28.0765
    init        0.499265         54.1757     0.00789265        24.9588         5432.68        0.04463        141.132       -0.938759      0.0110112        34.8204
    init        0.499331         53.9917     0.00784421        24.8056          5433.7      0.0444995         140.72        -1.54838      0.0108969        34.4591
    init        0.499294         54.5048     0.00781965        24.7279         5432.49      0.0447083         141.38        -6.67342     0.00996743        31.5198
    init        0.499342          52.241     0.00824295        26.0665          5437.5      0.0451026        142.627        -2.54079      0.0123849        39.1644
    init        0.499352          52.713     0.00807233        25.5269          5436.6      0.0448237        141.745         7.02485      0.0115234        36.4401
    init        0.499349         50.6875     0.00842627        26.6462         5440.97      0.0452388        143.057        -5.17604      0.0133042        42.0717
    init        0.499304         54.6228     0.00770491        24.3651         5433.22      0.0448557        141.846         5.51243      0.0100532        31.7909
    init        0.499297         51.0625     0.00846898        26.7813         5439.88      0.0452851        143.204         6.30233       0.013213        41.7832
    init        0.499352         55.0354     0.00774741        24.4995         5431.54      0.0443937        140.385        -4.73165     0.00979198         30.965
    init        0.499288         54.2444     0.00783306        24.7703         5432.91      0.0446599        141.227         2.42038      0.0106902        33.8054
    init        0.499254         53.2617     0.00810667        25.6356         5435.43      0.0452067        142.956         -1.1113      0.0117829        37.2606
    init        0.499328          54.443     0.00787433        24.9008         5432.67      0.0447227        141.426         2.51667       0.011015        34.8324
    init        0.499331         54.1064     0.00790548        24.9993         5434.47      0.0449481        142.138         1.75678       0.010621        33.5864
    init        0.499307         54.2982     0.00775483        24.5229         5432.52      0.0444122        140.444         3.97861      0.0102233        32.3288
    init        0.499286         53.5108     0.00807209        25.5262         5434.87      0.0447703        141.576        0.761179      0.0117885        37.2784
    init        0.499309         55.1822     0.00769954        24.3481         5431.73      0.0446302        141.133         3.44386     0.00999233        31.5985
    init        0.499383         51.3183     0.00834427        26.3869         5439.98      0.0454404        143.695        -8.09238      0.0127357        40.2737
    init        0.499346         53.7536     0.00796787        25.1966         5434.87      0.0448175        141.725         7.23846      0.0110355        34.8973
    init         0.49932         56.1325     0.00777852        24.5978         5427.97      0.0442818        140.031         3.10503      0.0104038        32.8998
    init        0.499279         53.8747      0.0079628        25.1806         5434.14      0.0448353        141.782        -6.25607      0.0109742        34.7034
    init        0.499288          56.259     0.00751995        23.7802         5427.41      0.0440868        139.415        -4.96683     0.00906538        28.6673
    init        0.499385         51.8436     0.00826666        26.1415         5439.08      0.0452557        143.111         5.62467      0.0124197        39.2747
    init         0.49932         54.1957     0.00796049        25.1733         5432.33      0.0444134        140.448         5.05446      0.0110386        34.9072
    init         0.49937         54.5145     0.00789873         24.978         5432.94       0.044802        141.676        -2.80637      0.0105236        33.2784
    init         0.49926         54.5828      0.0077413        24.4802         5431.51      0.0443057        140.107        -1.42058       0.010138        32.0592
    init        0.499303         52.7849     0.00810928        25.6438         5437.21      0.0451006        142.621        -5.49926      0.0119331        37.7357
    init        0.499417         53.2619      0.0080578         25.481         5435.71       0.044961        142.179         6.38421      0.0117134        37.0411
    init        0.499348         53.5141     0.00813204        25.7158         5434.41       0.044992        142.277        -9.55136      0.0114153        36.0983
    init        0.499404         52.9142     0.00812905        25.7063         5436.46      0.0451163         142.67         1.35199      0.0118737        37.5478
    init        0.499289         52.3777     0.00813672        25.7306         5435.97       0.044943        142.122         2.67118      0.0117196        37.0608
    init        0.499372         53.2733     0.00808232        25.5585         5436.48      0.0450333        142.408        -3.39047       0.011723        37.0714
    init         0.49931         54.1725      0.0078929        24.9595         5433.45      0.0449821        142.246        -0.12558      0.0109761        34.7094
    init        0.499283         53.6591     0.00802201        25.3678         5434.79       0.044774        141.588         3.22865       0.011434        36.1574
    init        0.499288         53.4281     0.00806825        25.5141          5434.9      0.0449835         142.25        0.680278      0.0115103        36.3987
